Frame,Tempo_Inferenza_ms,Confidenza_Media
643,36.46,0.5746
644,35.36,0.5689
645,36.73,0.6151
646,36.37,0.5767
647,42.18,0.5852
648,36.58,0.5749
649,46.01,0.5734
650,43.72,0.5737
651,42.27,0.5651
652,38.22,0.0000
653,37.71,0.0000
654,37.63,0.0000
655,41.39,0.0000
656,41.20,0.0000
657,36.70,0.0000
658,42.55,0.0000
659,34.87,0.0000
660,34.39,0.5173
661,36.96,0.5175
662,37.24,0.5264
663,37.59,0.5327
664,45.11,0.5361
665,39.23,0.5307
666,39.03,0.5502
667,39.70,0.0000
668,45.95,0.0000
669,41.20,0.5028
670,41.14,0.0000
671,36.80,0.0000
672,37.34,0.0000
673,41.33,0.5436
674,34.25,0.5404
675,41.00,0.6164
676,39.89,0.6666
677,37.79,0.6817
678,45.19,0.5925
679,46.00,0.6091
680,37.00,0.6091
681,42.46,0.0000
682,38.58,0.5314
683,36.33,0.5359
684,45.53,0.0000
685,42.95,0.0000
686,38.40,0.0000
687,41.48,0.0000
688,36.85,0.0000
689,38.83,0.5384
690,41.90,0.5500
691,38.44,0.5377
692,37.42,0.5224
693,42.84,0.5185
694,37.98,0.5194
695,36.35,0.0000
696,38.56,0.5339
697,36.31,0.5381
698,44.38,0.5022
699,47.96,0.5534
700,39.45,0.6573
701,46.85,0.5025
702,42.37,0.0000
703,37.70,0.0000
704,48.90,0.0000
705,40.37,0.5272
706,37.75,0.0000
707,38.61,0.0000
708,43.98,0.6673
709,37.71,0.7346
710,39.05,0.7346
711,33.83,0.7646
712,42.64,0.7873
713,39.41,0.7185
714,40.82,0.6661
715,41.92,0.6643
716,44.45,0.6703
717,37.48,0.6888
718,36.97,0.7291
719,46.42,0.5831
720,43.83,0.5872
721,38.54,0.6435
722,41.13,0.6158
723,39.18,0.6399
724,37.11,0.7982
725,45.59,0.8041
726,39.08,0.7085
727,38.18,0.7849
728,44.03,0.7938
729,42.90,0.5918
730,40.80,0.7059
731,41.57,0.7139
732,37.75,0.8107
733,39.47,0.8292
734,43.85,0.8238
735,36.31,0.8372
736,38.07,0.8256
737,39.38,0.7570
738,37.59,0.0000
739,39.02,0.0000
740,41.22,0.0000
741,44.09,0.5295
742,36.20,0.0000
743,39.18,0.0000
744,32.87,0.5587
745,32.85,0.5546
746,31.44,0.5514
747,34.57,0.7022
748,38.67,0.5991
749,44.98,0.0000
750,49.01,0.5760
751,33.46,0.5397
752,33.83,0.5406
753,36.11,0.5612
754,32.48,0.5476
755,36.44,0.5619
756,44.98,0.5618
757,42.52,0.5884
758,49.39,0.5933
759,42.35,0.5264
760,41.63,0.0000
761,37.72,0.0000
762,35.54,0.0000
763,33.88,0.0000
764,39.36,0.0000
765,40.44,0.6668
766,42.02,0.6808
767,35.83,0.7356
768,40.30,0.7632
769,32.34,0.7289
770,41.97,0.7331
771,39.52,0.7202
772,43.21,0.6878
773,37.63,0.6434
774,39.47,0.6748
775,41.41,0.6901
776,42.35,0.6961
777,55.87,0.6861
778,43.02,0.7495
779,37.77,0.7172
780,37.85,0.7117
781,33.25,0.7350
782,41.30,0.7397
783,46.53,0.6597
784,45.20,0.7695
785,36.38,0.7811
786,40.17,0.8054
787,38.39,0.7819
788,38.35,0.7795
789,43.78,0.7567
790,44.11,0.7608
791,39.87,0.7544
792,41.22,0.7308
793,38.80,0.7465
794,41.97,0.7498
795,40.75,0.8624
796,42.95,0.8437
797,35.90,0.7178
798,37.72,0.7359
799,42.85,0.7371
800,39.95,0.7282
801,44.81,0.8673
802,39.04,0.7505
803,39.69,0.7944
804,44.54,0.7442
805,47.76,0.8310
806,39.42,0.8318
807,43.60,0.6986
808,37.13,0.6911
809,37.70,0.7442
810,35.65,0.7901
811,38.90,0.6890
812,48.70,0.6983
813,38.39,0.8048
814,41.90,0.8361
815,34.38,0.7090
816,36.73,0.5736
817,37.44,0.7283
818,42.22,0.7264
819,44.46,0.5189
820,41.42,0.5996
821,38.73,0.6590
822,37.03,0.6762
823,43.48,0.5882
824,36.93,0.5873
825,33.08,0.6221
826,39.01,0.6884
827,42.04,0.6759
828,40.25,0.6485
829,43.18,0.6483
830,41.74,0.6535
